# packet-level routing trace
# fields: global_pid,msg_type,signal_id,source_id,destination,path_nodes,path_times
16,0,16,16,17,16>17>17,2>7>10
10,0,10,10,18,10>18>18,2>7>10
18,0,18,20,21,20>21>21,2>7>10
14,0,14,14,22,14>22>22,2>7>10
36,0,36,40,41,40>41>41,2>7>10
30,0,30,34,42,34>42>42,2>7>10
38,0,38,44,45,44>45>45,2>7>10
34,0,34,38,46,38>46>46,2>7>10
9,0,9,9,17,9>17>17,2>7>11
17,0,17,19,18,19>18>18,2>7>11
13,0,13,13,21,13>21>21,2>7>11
19,0,19,23,22,23>22>22,2>7>11
29,0,29,33,41,33>41>41,2>7>11
37,0,37,43,42,43>42>42,2>7>11
33,0,33,37,45,37>45>45,2>7>11
39,0,39,47,46,47>46>46,2>7>11
21,0,21,25,17,25>17>17,2>7>12
22,0,22,26,18,26>18>18,2>7>12
25,0,25,29,21,29>21>21,2>7>12
26,0,26,30,22,30>22>22,2>7>12
41,0,41,49,41,49>41>41,2>7>12
42,0,42,50,42,50>42>42,2>7>12
45,0,45,53,45,53>45>45,2>7>12
46,0,46,54,46,54>46>46,2>7>12
20,0,20,24,17,24>25>17>17,2>7>10>13
23,0,23,27,18,27>26>18>18,2>7>10>13
24,0,24,28,21,28>29>21>21,2>7>10>13
27,0,27,31,22,31>30>22>22,2>7>10>13
40,0,40,48,41,48>49>41>41,2>7>10>13
43,0,43,51,42,51>50>42>42,2>7>10>13
44,0,44,52,45,52>53>45>45,2>7>10>13
47,0,47,55,46,55>54>46>46,2>7>10>13
8,0,8,8,17,8>9>17>17,2>7>10>14
2,0,2,2,18,2>10>18>18,2>7>10>14
12,0,12,12,21,12>13>21>21,2>7>10>14
6,0,6,6,22,6>14>22>22,2>7>10>14
28,0,28,32,41,32>33>41>41,2>7>10>14
31,0,31,35,42,35>34>42>42,2>7>10>14
32,0,32,36,45,36>37>45>45,2>7>10>14
35,0,35,39,46,39>38>46>46,2>7>10>14
1,0,1,1,17,1>9>17>17,2>7>12>15
11,0,11,11,18,11>10>18>18,2>7>12>15
5,0,5,5,21,5>13>21>21,2>7>12>15
15,0,15,15,22,15>14>22>22,2>7>12>15
49,0,49,57,41,57>49>41>41,2>7>12>15
50,0,50,58,42,58>50>42>42,2>7>12>15
53,0,53,61,45,61>53>45>45,2>7>12>15
54,0,54,62,46,62>54>46>46,2>7>12>15
0,0,0,0,17,0>1>9>17>17,2>7>10>14>17
3,0,3,3,18,3>2>10>18>18,2>7>10>14>17
4,0,4,4,21,4>5>13>21>21,2>7>10>14>17
7,0,7,7,22,7>6>14>22>22,2>7>10>14>17
48,0,48,56,41,56>57>49>41>41,2>7>10>14>17
51,0,51,59,42,59>58>50>42>42,2>7>10>14>17
52,0,52,60,45,60>61>53>45>45,2>7>10>14>17
55,0,55,63,46,63>62>54>46>46,2>7>10>14>17
57,1,10,18,10,18>10>10,21>32>35
59,1,14,22,14,22>14>14,21>32>35
61,1,30,42,34,42>34>34,21>32>35
63,1,34,46,38,46>38>38,21>32>35
56,1,16,17,16,17>16>16,21>33>36
58,1,18,21,20,21>20>20,21>33>36
60,1,36,41,40,41>40>40,21>33>36
62,1,38,45,44,45>44>44,21>33>36
64,1,9,17,9,17>9>9,22>34>37
66,1,13,21,13,21>13>13,22>34>37
68,1,29,41,33,41>33>33,22>34>37
70,1,33,45,37,45>37>37,22>34>37
69,1,37,42,43,42>43>43,22>35>38
71,1,39,46,47,46>47>47,22>35>38
73,1,22,18,26,18>26>26,23>36>39
75,1,26,22,30,22>30>30,23>36>39
77,1,42,42,50,42>50>50,23>36>39
